"","target_taxon_name","...1","source_taxon_name","latitude","longitude","ISO_A2","NAME_ES","searched_taxon_name","country_name","Estatus.Taxonómico","Nombre.Válido","Autoridad","Rango.Taxonómico","Familia","Forma.biológica"
"505","Ribes",350,"Agapostemon angelicus",37.6447,-111.0702,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"506","Ribes leptanthum",274,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","Ribes leptanthum",428,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"508","Rudbeckia hirta",8,"Agapostemon angelicus",30.1,-97.28,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"509","Salix exigua",191,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Salix exigua",341,"Agapostemon angelicus",37.85062,-111.35437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"511","Salix exigua",343,"Agapostemon angelicus",37.84737,-111.35395,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"512","Salix exigua",377,"Agapostemon angelicus",37.7645,-111.4046,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"513","Salsola",263,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Salsola",396,"Agapostemon angelicus",37.5102,-111.3435,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"515","Salsola",589,"Agapostemon angelicus",37.5068,-111.349,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"516","Salsola tragus",23,"Agapostemon angelicus",31.33056,-109.21,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"517","Salsola tragus",50,"Agapostemon angelicus",31.30972,-109.27778,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"518","Salsola tragus",63,"Agapostemon angelicus",31.32222,-109.27778,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"519","Salsola tragus",70,"Agapostemon angelicus",31.32083,-109.27601,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"520","Salsola tragus",102,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","Sanvitalia",655,"Agapostemon (Agapostemon) angelicus",31.83528,-109.0306,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"522","Sclerocactus whipplei",239,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","Sclerocactus whipplei",379,"Agapostemon angelicus",37.5487,-111.3268,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"524","Sclerocactus whipplei",380,"Agapostemon angelicus",37.7645,-111.4046,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"525","Sclerocactus whipplei",543,"Agapostemon angelicus",37.441,-111.2307,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"526","Sclerocactus whipplei",541,"Agapostemon angelicus",37.5322,-111.1788,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"527","Sclerocactus whipplei",542,"Agapostemon angelicus",37.5102,-111.3435,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"528","Senecio",222,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","Senecio",537,"Agapostemon angelicus",37.3603,-112.185,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"530","Senecio",384,"Agapostemon angelicus",37.537,-111.322,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"531","Senecio",569,"Agapostemon angelicus",37.276,-111.1162,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"532","Senecio spartioides",193,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Senecio spartioides",499,"Agapostemon angelicus",37.2877,-111.1223,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"534","Senecio spartioides",449,"Agapostemon angelicus",37.32292,-111.1573,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"535","Senecio spartioides",487,"Agapostemon angelicus",37.2983,-111.1571,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"536","Senecio spartioides",489,"Agapostemon angelicus",37.2298,-112.1165,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"537","Senecio spartioides",448,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
